run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,0,0,1,4,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.048,19.248,18.477,0.167,0.02,0.584,0,0,0,834.583,266.77,300.898,151.111,528.788,38.673,0.32,0,0,0,0,0,834.934,0,854.269,0.106708,30.6274,15.3811,53.8235,0.293902,0.64
2,1,1,1,0,0,1,4,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.017,18.863,18.525,0.164,0.017,0.157,0,0,0,853.651,275.06,311.974,154.544,539.736,38.485,0.34,0,0,0,0,0,854.007,0,872.934,0.110024,31.7548,15.7305,54.9379,0.292474,0.68
3,1,1,1,0,0,1,4,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.015,20.691,20.317,0.174,0.015,0.185,0,0,0,1006.09,375.953,448.648,208.959,581.867,47.73,0.48,0,0,0,0,0,1006.71,0,1027.45,0.150381,45.6664,21.2692,59.2263,0.362733,0.96
avg,1,1,1,0,0,1,4,5000,513,500,9.82447e+06,0,0,2.5e+06,1.31584e+08,0.0266667,19.6007,19.1063,0.168333,0.0173333,0.308667,0,0,0,898.108,305.928,353.84,171.538,550.13,41.6293,0.38,0,0,0,0,0,898.551,0,918.218,0.122371,36.0162,17.4603,55.9959,0.31637,0.76
