run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,0,0,1,8,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.041,19.456,18.718,0.163,0.025,0.549,0,0,0,850.951,267.824,507.893,201.719,541.725,41.026,0.348,0,0,0,0,0,851.349,0,870.892,0.10713,51.6967,20.5323,55.1404,0.311784,0.696
2,1,1,1,0,0,1,8,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.013,18.459,18.135,0.163,0.016,0.145,0,0,0,849.34,269.407,505.511,189.501,538.523,41.022,0.359,0,0,0,0,0,849.734,0,868.239,0.107763,51.4543,19.2887,54.8144,0.311754,0.718
3,1,1,1,0,0,1,8,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.016,18.49,18.162,0.163,0.013,0.152,0,0,0,857.87,279.179,548.059,206.627,537.935,40.378,0.338,0,0,0,0,0,858.226,0,876.77,0.111672,55.7851,21.0319,54.7546,0.30686,0.676
avg,1,1,1,0,0,1,8,5000,513,500,9.82447e+06,0,0,2.5e+06,1.31584e+08,0.0233333,18.8017,18.3383,0.163,0.018,0.282,0,0,0,852.72,272.137,520.488,199.282,539.394,40.8087,0.348333,0,0,0,0,0,853.103,0,871.967,0.108855,52.9787,20.2843,54.9031,0.310133,0.696667
