run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,1,0,1,8,5000,513,500,9824473,36258,119601,2.5e+06,1.31584e+08,0.046,19.404,18.586,0.174,0.039,0.604,0,0,0,426.66,267.544,486.447,171.312,129.05,29.124,0.888,0,0,2.54,0,0,430.097,0,449.588,0.107018,49.5138,17.4373,13.1356,0.221333,1.776
2,1,1,1,1,0,1,8,5000,513,500,9824473,36258,119601,2.5e+06,1.31584e+08,0.016,18.511,18.198,0.164,0.014,0.135,0,0,0,457.048,292.066,567.598,193.22,131.668,32.291,0.967,0,0,2.575,0,0,460.688,0,479.258,0.116826,57.7739,19.6672,13.402,0.245401,1.934
3,1,1,1,1,0,1,8,5000,513,500,9824473,36258,119601,2.5e+06,1.31584e+08,0.015,18.608,18.286,0.163,0.015,0.144,0,0,0,500.076,321.766,588.015,195.134,143.61,33.616,1.035,0,0,2.725,0,0,503.567,0,522.224,0.128706,59.8521,19.862,14.6176,0.255471,2.07
avg,1,1,1,1,0,1,8,5000,513,500,9.82447e+06,36258,119601,2.5e+06,1.31584e+08,0.0256667,18.841,18.3567,0.167,0.0226667,0.294333,0,0,0,461.261,293.792,547.353,186.555,134.776,31.677,0.963333,0,0,2.61333,0,0,464.784,0,483.69,0.117517,55.7133,18.9888,13.7184,0.240735,1.92667
