run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,0,0,1,2,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.05,18.397,17.63,0.151,0.023,0.593,0,0,0,1030.35,450.696,324.284,149.032,538.428,40.784,0.393,0,0,0,0,0,1030.79,0,1049.31,0.180278,33.0078,15.1695,54.8048,0.309945,0.786
2,1,1,1,0,0,1,2,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.017,18.481,18.123,0.165,0.018,0.175,0,0,0,971.188,409.415,281.263,132.753,522.619,38.791,0.322,0,0,0,0,0,971.515,0,990.045,0.163766,28.6288,13.5125,53.1956,0.294799,0.644
3,1,1,1,0,0,1,2,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.015,18.477,18.146,0.163,0.012,0.156,0,0,0,1013.77,433.867,298.98,147.585,537.792,41.681,0.386,0,0,0,0,0,1014.18,0,1032.71,0.173547,30.4322,15.0222,54.74,0.316762,0.772
avg,1,1,1,0,0,1,2,5000,513,500,9.82447e+06,0,0,2.5e+06,1.31584e+08,0.0273333,18.4517,17.9663,0.159667,0.0176667,0.308,0,0,0,1005.1,431.326,301.509,143.123,532.946,40.4187,0.367,0,0,0,0,0,1005.49,0,1024.02,0.17253,30.6896,14.568,54.2468,0.307169,0.734
