run,parallel,vectorized,simd,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,0,1,1,2,1,200,513,20,16096,4000,5.26338e+06,2.9,31.342,28.932,1.279,0.019,1.125,0,0,0,528.213,3.105,1.276,0.38,10.999,514.604,0.27,270.815,215.804,0,0,529.212,0,563.713,0.77625,79.2744,23.6083,683.337,97.7706,13.5
avg,1,0,1,1,2,1,200,513,20,16096,4000,5.26338e+06,2.9,31.342,28.932,1.279,0.019,1.125,0,0,0,528.213,3.105,1.276,0.38,10.999,514.604,0.27,270.815,215.804,0,0,529.212,0,563.713,0.77625,79.2744,23.6083,683.337,97.7706,13.5
