run,parallel,vectorized,simd,threads,nb_ants,grid_dim,iterations,ant_moves,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,0,1,1,1,5000,513,800,15710939,4e+06,2.10535e+08,0.051,18.686,17.914,0.167,0.043,0.562,0,0,0,2023.94,1174.48,399.335,205.112,788.007,60.87,0.51,0,0,2024.95,0,2043.74,0.293621,25.4176,13.0554,50.1566,0.28912,0.6375
2,0,1,1,1,5000,513,800,15710939,4e+06,2.10535e+08,0.015,17.724,17.326,0.176,0.045,0.177,0,0,0,2040.59,1185.93,404.602,210.613,792.005,62.077,0.525,0,0,2041.41,0,2059.2,0.296482,25.7529,13.4055,50.4111,0.294853,0.65625
3,0,1,1,1,5000,513,800,15710939,4e+06,2.10535e+08,0.015,17.492,17.145,0.154,0.03,0.163,0,0,0,2053.78,1196.33,414.968,208.322,794.921,61.944,0.523,0,0,2054.75,0,2072.31,0.299081,26.4127,13.2597,50.5967,0.294222,0.65375
4,0,1,1,1,5000,513,800,15710939,4e+06,2.10535e+08,0.018,17.667,17.324,0.165,0.032,0.146,0,0,0,2103.06,1219.85,427.616,211.572,820.144,62.501,0.516,0,0,2103.95,0,2121.69,0.304962,27.2177,13.4665,52.2021,0.296867,0.645
5,0,1,1,1,5000,513,800,15710939,4e+06,2.10535e+08,0.014,18.974,18.585,0.177,0.033,0.179,0,0,0,2160.43,1268.62,451.814,235.63,823.408,67.735,0.602,0,0,2161.53,0,2180.56,0.317156,28.7579,14.9978,52.4099,0.321728,0.7525
avg,0,1,1,1,5000,513,800,1.57109e+07,4e+06,2.10535e+08,0.0226,18.1086,17.6588,0.1678,0.0366,0.2454,0,0,0,2076.36,1209.04,419.667,214.25,803.697,63.0254,0.5352,0,0,2077.32,0,2095.5,0.30226,26.7118,13.637,51.1552,0.299358,0.669
