run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,0,0,1,8,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.072,19.459,18.717,0.166,0.025,0.551,0,0,0,1007.63,357.407,713.195,258.337,598.925,50.809,0.446,0,0,0,0,0,1008.28,0,1027.86,0.142963,72.5937,26.2953,60.9626,0.386132,0.892
2,1,1,1,0,0,1,8,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.016,18.648,18.298,0.164,0.017,0.169,0,0,0,842.673,267.701,531.772,195.477,534.834,39.786,0.324,0,0,0,0,0,843.042,0,861.747,0.10708,54.1273,19.8969,54.439,0.302361,0.648
3,1,1,1,0,0,1,8,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.016,18.389,18.077,0.164,0.013,0.135,0,0,0,909.423,303.42,584.322,216.497,562.697,42.889,0.373,0,0,0,0,0,909.953,0,928.432,0.121368,59.4762,22.0365,57.275,0.325943,0.746
avg,1,1,1,0,0,1,8,5000,513,500,9.82447e+06,0,0,2.5e+06,1.31584e+08,0.0346667,18.832,18.364,0.164667,0.0183333,0.285,0,0,0,919.909,309.509,609.763,223.437,565.485,44.4947,0.381,0,0,0,0,0,920.425,0,939.345,0.123804,62.0657,22.7429,57.5588,0.338145,0.762
