run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,1,0,1,4,5000,513,500,9824473,15477,56007,2.5e+06,1.31584e+08,0.04,19.461,18.667,0.166,0.024,0.604,0,0,0,584.429,368.586,363.259,135.783,186.989,28.092,0.724,0,0,2.576,0,0,586.852,0,606.398,0.147434,36.9749,13.8209,19.033,0.21349,1.448
2,1,1,1,1,0,1,4,5000,513,500,9824473,15477,56007,2.5e+06,1.31584e+08,0.018,18.766,18.425,0.167,0.018,0.155,0,0,0,637.837,402.982,421.659,174.677,201.131,32.98,0.689,0,0,2.73,0,0,640.383,0,659.209,0.161193,42.9192,17.7798,20.4724,0.250637,1.378
3,1,1,1,1,0,1,4,5000,513,500,9824473,15477,56007,2.5e+06,1.31584e+08,0.017,25.732,25.326,0.18,0.015,0.211,0,0,0,595.986,376.718,379.509,145.852,189.746,28.733,0.746,0,0,2.579,0,0,598.484,0,624.269,0.150687,38.6289,14.8458,19.3136,0.218362,1.492
avg,1,1,1,1,0,1,4,5000,513,500,9.82447e+06,15477,56007,2.5e+06,1.31584e+08,0.025,21.3197,20.806,0.171,0.019,0.323333,0,0,0,606.084,382.762,388.142,152.104,192.622,29.935,0.719667,0,0,2.62833,0,0,608.573,0,629.959,0.153105,39.5077,15.4822,19.6063,0.227496,1.43933
