run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,0,0,1,0,1,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,1.384,19.334,18.561,0.166,0.024,0.583,0,0,0,1586.56,1006.46,478.268,173.383,531.534,48.098,0.429,0,0,0,0,0,1587.27,0,1608.05,0.402584,48.6813,17.6481,54.1031,0.365529,0.858
2,0,0,1,0,1,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.017,17.238,16.947,0.15,0.008,0.133,0,0,0,1432.74,889.239,418.389,123.015,505.042,38.109,0.309,0,0,0,0,0,1433.26,0,1450.55,0.355696,42.5864,12.5213,51.4065,0.289616,0.618
3,0,0,1,0,1,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.014,17.213,16.912,0.158,0.009,0.134,0,0,0,1429.18,886.367,419.859,120.51,505.056,37.412,0.312,0,0,0,0,0,1429.69,0,1446.95,0.354547,42.736,12.2663,51.4079,0.284319,0.624
avg,0,0,1,0,1,1,1,5000,513,500,9.82447e+06,0,0,2.5e+06,1.31584e+08,0.471667,17.9283,17.4733,0.158,0.0136667,0.283333,0,0,0,1482.83,927.355,438.839,138.969,513.877,41.2063,0.35,0,0,0,0,0,1483.41,0,1501.85,0.370942,44.6679,14.1452,52.3058,0.313155,0.7
