run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,0,0,1,2,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.047,19.63,18.788,0.169,0.027,0.646,0,0,0,1174.59,539.544,381.407,187.716,584.855,49.671,0.469,0,0,0,0,0,1175.17,0,1194.89,0.215818,38.8221,19.107,59.5304,0.377484,0.938
2,1,1,1,0,0,1,2,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.018,19.186,18.829,0.173,0.016,0.168,0,0,0,1085.96,467.888,323.099,157.41,571.931,45.677,0.42,0,0,0,0,0,1086.41,0,1105.65,0.187155,32.8872,16.0222,58.2149,0.347131,0.84
3,1,1,1,0,0,1,2,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.016,18.719,18.38,0.167,0.013,0.159,0,0,0,987.327,409.774,276.772,131.35,538.638,38.523,0.354,0,0,0,0,0,987.678,0,1006.45,0.16391,28.1717,13.3697,54.8261,0.292762,0.708
avg,1,1,1,0,0,1,2,5000,513,500,9.82447e+06,0,0,2.5e+06,1.31584e+08,0.027,19.1783,18.6657,0.169667,0.0186667,0.324333,0,0,0,1082.63,472.402,327.093,158.825,565.141,44.6237,0.414333,0,0,0,0,0,1083.09,0,1102.33,0.188961,33.2937,16.1663,57.5238,0.339126,0.828667
