run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,0,0,1,0,1,4,1,5000,513,500,9822592,0,0,2.5e+06,1.31584e+08,0.083,20,18.938,0.173,0.013,0.882,0,0,0,2714.65,367.746,200.874,75.676,165.426,2193.51,2.565,1161.39,1014.17,0,0,0,2733.87,0,2753.78,0.147098,20.4502,7.70428,16.8414,16.6699,5.13
2,0,0,1,0,1,4,1,5000,513,500,9822592,0,0,2.5e+06,1.31584e+08,0.029,20.386,20.021,0.237,0.005,0.44,0,0,0,2738.85,373.018,202.034,78.497,171.65,2207.83,2.49,1163.78,1024.68,0,0,0,2767.54,0,2787.68,0.149207,20.5683,7.99148,17.475,16.7788,4.98
3,0,0,1,0,1,4,1,5000,513,500,9822592,0,0,2.5e+06,1.31584e+08,0.016,20.735,20.054,0.189,0.004,0.488,0,0,0,2860.18,390.822,213.72,83.061,184.301,2295.95,2.516,1203.18,1073.72,0,0,0,2902.06,0,2921.35,0.156329,21.758,8.45612,18.763,17.4485,5.032
avg,0,0,1,0,1,4,1,5000,513,500,9.82259e+06,0,0,2.5e+06,1.31584e+08,0.0426667,20.3737,19.671,0.199667,0.00733333,0.603333,0,0,0,2771.23,377.195,205.543,79.078,173.792,2232.43,2.52367,1176.12,1037.52,0,0,0,2801.16,0,2820.94,0.150878,20.9255,8.05062,17.6931,16.9657,5.04733
