run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,1,0,1,2,5000,513,500,9824473,4713,12555,2.5e+06,1.31584e+08,0.038,19.329,18.567,0.166,0.022,0.574,0,0,0,765.621,454.185,294.464,131.268,285.646,25.207,0.548,0,0,4.399,0,0,766.852,0,786.263,0.181674,29.9725,13.3613,29.0749,0.191565,1.096
2,1,1,1,1,0,1,2,5000,513,500,9824473,4713,12555,2.5e+06,1.31584e+08,0.015,18.727,18.396,0.166,0.018,0.147,0,0,0,759.534,450.018,288.231,130.775,283.952,24.995,0.525,0,0,5.192,0,0,760.708,0,779.491,0.180007,29.3381,13.3111,28.9025,0.189954,1.05
3,1,1,1,1,0,1,2,5000,513,500,9824473,4713,12555,2.5e+06,1.31584e+08,0.017,18.706,18.367,0.167,0.014,0.158,0,0,0,751.736,443.743,284.877,122.493,283.463,23.934,0.553,0,0,5.213,0,0,752.917,0,771.676,0.177497,28.9967,12.4681,28.8527,0.181891,1.106
avg,1,1,1,1,0,1,2,5000,513,500,9.82447e+06,4713,12555,2.5e+06,1.31584e+08,0.0233333,18.9207,18.4433,0.166333,0.018,0.293,0,0,0,758.964,449.315,289.191,128.179,284.354,24.712,0.542,0,0,4.93467,0,0,760.159,0,779.143,0.179726,29.4357,13.0469,28.9434,0.187803,1.084
