run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,0,0,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,1.273,20.37,19.537,0.172,0.065,0.596,0,0,0,1290.86,742.198,257.933,125.534,510.699,37.595,0.327,0,0,0,0,0,1291.31,0,1313.01,0.296879,26.2541,12.7777,51.9823,0.28571,0.654
2,1,1,1,0,0,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.013,17.337,17.048,0.154,0.013,0.122,0,0,0,1406.32,824.083,301.832,157.578,537.889,43.831,0.482,0,0,0,0,0,1406.82,0,1424.2,0.329633,30.7225,16.0393,54.7499,0.333102,0.964
3,1,1,1,0,0,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.017,20.016,19.654,0.171,0.017,0.174,0,0,0,1358.36,785.23,276.325,143.741,531.787,40.96,0.352,0,0,0,0,0,1358.84,0,1378.91,0.314092,28.1262,14.6309,54.1288,0.311283,0.704
avg,1,1,1,0,0,1,1,5000,513,500,9.82447e+06,0,0,2.5e+06,1.31584e+08,0.434333,19.241,18.7463,0.165667,0.0316667,0.297333,0,0,0,1351.85,783.837,278.697,142.284,526.792,40.7953,0.387,0,0,0,0,0,1352.32,0,1372.04,0.313535,28.3676,14.4826,53.6203,0.310031,0.774
