run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,1,0,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.042,19.484,18.659,0.173,0.031,0.621,0,0,0,1395.75,810.886,289.158,145.777,542.909,41.578,0.343,0,0,4.695,0,0,1396.76,0,1416.33,0.324354,29.4324,14.8381,55.2609,0.315979,0.686
2,1,1,1,1,0,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.018,19.39,18.999,0.175,0.017,0.198,0,0,0,1408.56,820.523,293.197,150.208,544.681,42.934,0.379,0,0,4.653,0,0,1409.59,0,1429.04,0.328209,29.8435,15.2892,55.4412,0.326285,0.758
3,1,1,1,1,0,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.015,18.717,18.387,0.167,0.012,0.151,0,0,0,1411.57,824.107,297.932,150.171,544.225,42.847,0.336,0,0,4.707,0,0,1412.6,0,1431.37,0.329643,30.3255,15.2854,55.3948,0.325623,0.672
avg,1,1,1,1,0,1,1,5000,513,500,9.82447e+06,0,0,2.5e+06,1.31584e+08,0.025,19.197,18.6817,0.171667,0.02,0.323333,0,0,0,1405.29,818.505,293.429,148.719,543.938,42.453,0.352667,0,0,4.685,0,0,1406.32,0,1425.58,0.327402,29.8671,15.1376,55.3656,0.322629,0.705333
