processes,run_total_ms,speedup,advance_time_ms,ants_ms,evaporation_ms,mpi_mark_sync_ms,mpi_evap_sync_ms
1,120.956,1.000000,85.478,4.84,56.553,0,0
2,640.812,0.188754,601.022,3.119,583.885,309.059,248.943
