run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,0,0,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.964,19.118,18.347,0.166,0.023,0.582,0,0,0,1333.02,759.485,262.378,132.077,534.12,39.036,0.34,0,0,0,0,0,1333.43,0,1353.58,0.303794,26.7066,13.4437,54.3663,0.296661,0.68
2,1,1,1,0,0,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.017,17.43,17.092,0.175,0.015,0.148,0,0,0,1485.19,869.547,328.22,168.114,568.177,46.975,0.436,0,0,0,0,0,1485.79,0,1503.28,0.347819,33.4084,17.1118,57.8328,0.356995,0.872
3,1,1,1,0,0,1,1,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.018,18.731,18.387,0.168,0.016,0.16,0,0,0,1352.65,771.733,266.154,138.756,540.335,40.197,0.351,0,0,0,0,0,1353.09,0,1371.88,0.308693,27.0909,14.1235,54.9989,0.305484,0.702
avg,1,1,1,0,0,1,1,5000,513,500,9.82447e+06,0,0,2.5e+06,1.31584e+08,0.333,18.4263,17.942,0.169667,0.018,0.296667,0,0,0,1390.29,800.255,285.584,146.316,547.544,42.0693,0.375667,0,0,0,0,0,1390.77,0,1409.58,0.320102,29.0686,14.893,55.7327,0.319713,0.751333
