nb_ants,run_total_ms,speedup_vs_first,advance_time_ms,ants_ms,evaporation_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,delivered_food,processes,threads
1000,2895.75,1.000000,2859.6,60.35,2483.39,1302.95,1042.08,0,2,1
3000,3783.27,0.765409,3747.45,174.925,2497.26,1308.99,1049.18,0,2,1
