run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,0,0,1,0,1,2,1,500,513,20,41350,0,0,10000,5.26338e+06,1.617,37.207,35.08,1.308,0.044,1.189,0,0,0,590.718,7,3.547,1.167,33.231,550.579,0.289,291.198,229.105,0,0,0,591.945,0,630.602,0.7,85.7799,28.2225,803.652,104.606,14.45
avg,0,0,1,0,1,2,1,500,513,20,41350,0,0,10000,5.26338e+06,1.617,37.207,35.08,1.308,0.044,1.189,0,0,0,590.718,7,3.547,1.167,33.231,550.579,0.289,291.198,229.105,0,0,0,591.945,0,630.602,0.7,85.7799,28.2225,803.652,104.606,14.45
