run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,0,0,1,0,1,8,1,5000,513,500,9808460,0,0,2.5e+06,1.31584e+08,0.092,30.304,28.642,0.531,0.019,1.448,0,0,0,6169.57,329.225,185.915,78.283,141.711,5706.4,3.092,3100.71,2609.58,0,0,0,6397.08,0,6418.91,0.13169,18.9546,7.98117,14.4478,43.3668,6.184
2,0,0,1,0,1,8,1,5000,513,500,9808460,0,0,2.5e+06,1.31584e+08,0.038,31.199,30.394,0.554,0.008,0.563,0,0,0,7673.08,378.776,216.69,86.719,163.121,7157.7,3.255,3874.21,3328.18,0,0,0,8057.62,0,8082.09,0.15151,22.0922,8.84125,16.6306,54.3962,6.51
3,0,0,1,0,1,8,1,5000,513,500,9808460,0,0,2.5e+06,1.31584e+08,0.04,41.936,41.485,0.472,0.015,0.557,0,0,0,6337.18,337.798,188.452,79.27,150.387,5850.88,3.212,3163.47,2685.92,0,0,0,6556.35,0,6583.68,0.135119,19.2132,8.0818,15.3324,44.4648,6.424
avg,0,0,1,0,1,8,1,5000,513,500,9.80846e+06,0,0,2.5e+06,1.31584e+08,0.0566667,34.4797,33.507,0.519,0.014,0.856,0,0,0,6726.61,348.6,197.019,81.424,151.74,6238.33,3.18633,3379.46,2874.56,0,0,0,7003.68,0,7028.22,0.13944,20.0866,8.30141,15.4703,47.4093,6.37267
