run,parallel,threads,nb_ants,grid_dim,iterations,ant_moves,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,0,1,5000,513,800,15710939,4e+06,2.10535e+08,1.185,21.543,20.624,0.33,0.041,0.548,0,0,0,2227.25,1372.51,642.803,187.236,768.736,85.419,0.519,0,0,2228.27,0,2251.05,0.343129,40.9144,11.9176,48.93,0.405723,0.64875
2,0,1,5000,513,800,15710939,4e+06,2.10535e+08,0.017,17.793,17.381,0.214,0.031,0.167,0,0,0,2239.27,1378.8,644.343,187.101,774.422,85.509,0.464,0,0,2240.32,0,2258.18,0.344701,41.0124,11.909,49.2919,0.406151,0.58
3,0,1,5000,513,800,15710939,4e+06,2.10535e+08,0.014,17.709,17.305,0.216,0.031,0.157,0,0,0,2236.98,1375.24,643.68,183.042,776.213,84.951,0.515,0,0,2237.98,0,2255.76,0.343811,40.9702,11.6506,49.4059,0.4035,0.64375
avg,0,1,5000,513,800,1.57109e+07,4e+06,2.10535e+08,0.405333,19.015,18.4367,0.253333,0.0343333,0.290667,0,0,0,2234.5,1375.52,643.609,185.793,773.124,85.293,0.499333,0,0,2235.53,0,2254.99,0.34388,40.9656,11.8257,49.2093,0.405125,0.624167
