run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,0,0,1,4,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.041,19.785,19.021,0.168,0.021,0.575,0,0,0,965.211,383.326,363.629,155.582,540.354,41.146,0.344,0,0,0,0,0,965.571,0,985.43,0.15333,37.0126,15.8362,55.0008,0.312696,0.688
2,1,1,1,0,0,1,4,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.012,19.182,18.826,0.171,0.016,0.169,0,0,0,976.976,385.022,355.019,149.769,550.458,41.116,0.347,0,0,0,0,0,977.357,0,996.585,0.154009,36.1362,15.2445,56.0293,0.312468,0.694
3,1,1,1,0,0,1,4,5000,513,500,9824473,0,0,2.5e+06,1.31584e+08,0.012,19.232,18.884,0.169,0.016,0.163,0,0,0,1004.84,391.665,378.984,154.206,569.724,43.062,0.352,0,0,0,0,0,1005.25,0,1024.53,0.156666,38.5755,15.6961,57.9903,0.327257,0.704
avg,1,1,1,0,0,1,4,5000,513,500,9.82447e+06,0,0,2.5e+06,1.31584e+08,0.0216667,19.3997,18.9103,0.169333,0.0176667,0.302333,0,0,0,982.344,386.671,365.877,153.186,553.512,41.7747,0.347667,0,0,0,0,0,982.726,0,1002.18,0.154668,37.2414,15.5923,56.3401,0.317474,0.695333
