run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,1,0,1,10,5000,513,300,5957019,28287,90872,1.5e+06,7.89507e+07,0.047,32.192,29.576,1.217,0.272,1.126,0,0,0,6012.85,2366.97,1567.83,238.219,3435.38,206.76,3.612,0,0,36.446,0,0,6017.24,0,6049.53,1.57798,263.19,39.9896,576.695,2.61885,12.04
2,1,1,1,1,0,1,10,5000,513,300,5957019,28287,90872,1.5e+06,7.89507e+07,0.013,34.215,31.94,1.296,0.285,0.694,0,0,0,5947.54,2412.08,1586.37,235.54,3329.03,202.778,3.598,0,0,37.872,0,0,5951.84,0,5986.11,1.60805,266.303,39.5399,558.841,2.56841,11.9933
avg,1,1,1,1,0,1,10,5000,513,300,5.95702e+06,28287,90872,1.5e+06,7.89507e+07,0.03,33.2035,30.758,1.2565,0.2785,0.91,0,0,0,5980.2,2389.53,1577.1,236.88,3382.21,204.769,3.605,0,0,37.159,0,0,5984.54,0,6017.82,1.59302,264.747,39.7648,567.768,2.59363,12.0167
