run,parallel,vectorized,simd,submap,mpi,mpi_processes,threads,nb_ants,grid_dim,iterations,ant_moves,submap_border_crossings,submap_border_marks_exchanged,work_ant_calls,work_grid_cells,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,event_poll_ms,advance_time_ms,ants_ms,ant_select_move_ms,ant_terrain_cost_ms,ant_mark_pheromone_ms,evaporation_ms,pheromone_update_ms,mpi_mark_sync_ms,mpi_evap_sync_ms,submap_reassign_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms,ants_us_per_ant_call,ant_select_ns_per_move,ant_terrain_ns_per_move,ant_mark_ns_per_move,evaporation_ns_per_cell,update_us_per_iter
1,1,1,1,0,0,1,10,5000,513,300,5957019,0,0,1.5e+06,7.89507e+07,1.014,36.669,34.051,1.239,0.3,1.069,0,0,0,12549.5,489.204,1354.49,244.654,11202.3,854.81,3.053,0,0,0,0,0,12550.3,0,12588.3,0.326136,227.378,41.0699,1880.53,10.8271,10.1767
2,1,1,1,0,0,1,10,5000,513,300,5957019,0,0,1.5e+06,7.89507e+07,0.12,59.619,56.818,1.539,0.288,0.973,0,0,0,12921.3,509.099,1347.97,239.551,11543.1,865.994,2.989,0,0,0,0,0,12922.2,0,12982,0.339399,226.283,40.2132,1937.74,10.9688,9.96333
avg,1,1,1,0,0,1,10,5000,513,300,5.95702e+06,0,0,1.5e+06,7.89507e+07,0.567,48.144,45.4345,1.389,0.294,1.021,0,0,0,12735.4,499.151,1351.23,242.103,11372.7,860.402,3.021,0,0,0,0,0,12736.2,0,12785.1,0.332768,226.831,40.6416,1909.13,10.898,10.07
